vaga,salario_estimado,descricao,nota,nome_empresa,localizacao,tamanho,ano_fundacao,tipo_propriedade,industria,setor,receita
"Data Engineer – Fairfax, VA",$81K - $152K (Glassdoor est.),"Vibrent, a rapidly growing health-tech company, is looking for a Data Engineer to support Vibrent’s data-driven approach to health, as we explore data from multiple disparate sources to discover patterns and hidden insights.
We’re looking for candidates who thrive in professional, strategic and innovative user-focused environments, and who are committed to delivering quality products and/or services. The candidate must be able to think independently, analyze, troubleshoot and resolve complex business and technical problems.
You will work with very large, complex, cloud-based scientific datasets and help identify and answer questions that will shape scientific studies. The work that you do will contribute to improving the health of people across the nation.
You will be responsible for developing, optimizing and maintaining code and data pipelines.
Responsibilities",3.2,"Vibrent Health
3.2","Fairfax, VA",51 to 200 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist - Defense & Intelligence,$74K - $125K (Glassdoor est.),"Work Location is Fort Meade, MD
Elder Research Inc. is a recognized leader in predictive analytics and data mining. We pride ourselves in our ability to find creative, cutting edge solutions to real-world problems. We are looking for innovative and inquisitive self-starters who enjoy translating complex models into actionable solutions that deliver real value for our clients. We have multiple openings in the Baltimore-Washington Metropolitan area for cleared analytics and data science professionals at varying skill levels to support our Defense & Intelligence business
As a Data Scientist, you will work directly with clients, managers and technical staff to understand business needs, develop technical plans, and deliver data-driven analytical solutions that solve client problems. You will primarily create and deploy predictive models from a wide variety of data sources and types using the latest mathematical and statistical methods.
Basic Qualifications:",4.3,"Elder Research Inc
4.3","Fort Meade, MD",51 to 200 Employees,1995,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
Scientist - Immunology,$71K - $174K (Glassdoor est.),"Scientist - Immunology
Uniquely positioned to enhance quality of life in aging, at Alkahest, we are pioneering science that is rapidly being translated to the clinic. Our approaches utilize in vivo, in vitro, proteomic, and molecular techniques to identify new therapeutics and apply them to patients.
We are seeking a highly motivated and driven team member who will be key in advancing our immune-related scientific activities. Alkahest is developing therapies to address disorders of the central and peripheral nervous system that occur with aging, with a particular emphasis on disease where neuroinflammation is an important component. The selected candidate will use a combination of animal and human studies to assess the relationship of our drug candidates with immune mechanisms through techniques best suited for clinical translation. The role is critical in providing clinical tools to advance our therapeutic understandings of immune-related mechanisms and bridging the gap between preclinical and clinical findings. The role requires dedication, flexibility, excellent communication and organization, and will interact with teams from research, clinical and clinical operations departments to drive multiple projects in parallel.",-1.0,"Alkahest, Inc.","San Carlos, CA",-1,-1,-1,-1,-1,-1
Data Engineer,$60K - $121K (Glassdoor est.),"Employee-Centric Culture…Industry-Wide Impact
Now is an exciting time at Brokers International, we’re in a key position to chart the future of the insurance landscape, and we’re searching for creative thinkers, innovative problem solvers, and exceptional leaders to join our family.
Over nearly four decades, we’ve developed a rich, family-focused culture that values work-life balance and encourages all our team members to grow, collaborate, innovate, and have fun every day.
We want all our team members to enjoy where they work, what they do, and who they work with. Best of all we start our weekends early, closing the office every Friday at 3.
Our family is growing. We’re looking for a Data Engineer to develop, implement, and maintain our business-critical data management processes to create scalable efficiencies across our next-gen Data Warehouse. If you’re up to the challenge, we encourage you to apply and join the BI family.",3.5,"Brokers International, Ltd.
3.5","Urbandale, IA",51 to 200 Employees,1955,Company - Private,Investment Banking & Asset Management,Finance,$25 to $50 million (USD)
Principal Scientist,$81K - $163K (Glassdoor est.),"Company Description
Personalized immunotherapies are the future of the fight against cancer, and IsoPlexis (www.isoplexis.com) is Making the Difference in enabling the lofty goal of employing immunotherapies to combat our toughest diseases. Our integrated systems, named #1 Innovation by Scientist Magazine & World-Leading Design by Red Dot, are changing cancer research by connecting biological readouts to what is actually happening in patients. Our game changing hardware technologies, originally from Cal Tech and Yale, combined with our next generation software and data visualizations, are powered by our amazing R&D team and used throughout the world. We work with a growing list of leading researchers who are publishing findings that connect our readouts to what is truly happening in patients, and that excites & drives all of us to do more! If you like working at the intersection of biological sciences and healthcare, and you enjoy intellectually challenging yet fulfilling projects, give us a call. Our fast growing, 125+ person team has a sense of integrity, energy, and urgency to ‘make things happen’ in our collective careers and in the broader world, and we look forward to talking.",3.6,"IsoPlexis
3.6","Branford, CT",1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD)
RN Scientist-Research (Magnet Sites),$52K - $104K (Glassdoor est.),"We Are Hiring:
Ascension Seton is hiring a RN to conduct research studies, assist bedside nurses with research, and support CNOs at Magent sites with research. Previous research experience coupled with leadership experience, and a PHD are strongly preferred.

Schedule Monday-Friday 8-4:30PM

Magnet Recognition®
Magnet Recognition®, given by the American Nurses Credentialing Center, is the only national designation that recognizes nurses as integral team members in influencing positive patient outcomes. The nursing practice environment at Ascension Seton supports shared governance, interdisciplinary collaboration, leadership, quality, safety, professional development and work-life balance. The focus of Magnet is . Research has demonstrated that nurse satisfaction and patient outcomes are higher in Magnet hospitals than in other hospitals.
What You Will Do:
What You Will Need:
Why Join Our Team:



Equal Employment Opportunity Employer:",3.5,"Ascension
3.5","Austin, TX",10000+ Employees,1999,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD)
Research Scientist - Metabolic Pathways,$57K - $106K (Glassdoor est.),"The Research Scientist – Metabolic Pathways candidate will possess previous research experience in immunology, metabolism, inflammation, biotechnology, or drug development. The ideal candidate will have a PhD in biotech, immunology, systems biology, metabolism or bioinformatics. Preference will be given to candidates with demonstrated expertise in biochemistry and metabolic pathway analysis. Additional experience in common laboratory practices, skills, and techniques to support preclinical, translational, and clinical studies is required. This candidate will work closely with the Chief Scientific Officer and other R&D team members in the development of first-in-class, oral therapeutics for the treatment of autoimmune diseases. The candidate will be completely aligned with the four fundamental pillars of Landos' entrepreneurial and efficient corporate culture: 1) Be bold and decisive, 2) Never give up, 3) Be solution-oriented, and 4) Do the impossible.
Key Responsibilities:
Experimental Design: Generate and test novel experimental hypotheses to advance discovery-based R&D at Landos. Propose controlled preclinical, translational and clinical designs capable of robustly testing respective hypotheses to draw conclusions relevant to drug development research.",-1.0,"Landos Biopharma, Inc.","Blacksburg, VA",1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Scientist III - Digital Commerce,$60K - $113K (Glassdoor est.),"What Will You Be A Part Of?
Innovators please apply. As a Data Scientist III working in Digital Commerce, you will be part of a team dedicated to increasing the business efficiency of a Fortune 200 Company. This position provides an exciting way for an early-career, high-aptitude employee to work with an experienced team and make immediate contributions. If you enjoy math, programming and problem solving this may be the job you are looking for. Please read on.
Working with a team of great people you will learn how to navigate the complex business concerns and translate them into processes and algorithms. These solutions will be presented to fellow analysts and business stakeholders. There will be a continuous challenge to develop new analytic capabilities and improve existing ones on a wide variety of projects. The Data Scientist III will typically choose the approach taken.
What Will You Do?",3.8,"Thermo Fisher - America
3.8","Pittsburgh, PA",10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Application Scientist,$63K - $119K (Glassdoor est.),"TriLink BioTechnologies is actively responding to the COVID-19 pandemic through vaccine and diagnostic programs.
TriLink BioTechnologies, a Maravai LifeSciences company, is seeking a Application Scientist to join our growing team. This role is responsible for developing relationships with external partners and customers in support of identifying innovative and long-term opportunities to create value for the client and TriLink Biotechnologies. Drive core and strategic revenue growth via the development of content and insight/data contributions to multi-channel marketing campaigns to support the company's long-term growth objectives: publicly present data and comprehensive product education. Successful performance increases overall TriLink revenue, profitability, and market share by driving product awareness, adoption, and utilization by customers.
A technical resource that can answer advanced customer inquiries and support TriLink scientific credibility, further demonstrating the company's expertise in our core markets. The application scientist role is expected to perform as technical support, conference presenter, webinar presenter, ""lunch and learn"" field representation.",3.0,"TriLink BioTechnologies
3.0","San Diego, CA",51 to 200 Employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD)
Consumer Lending Data Analyst II,$53K - $106K (Glassdoor est.),"We are searching for a Consumer Lending Data Analyst II to research and analyze data in order to make strategic business recommendations. In this role, you will perform competitor research to enhance our product strategy and direction. Having 3 years' experience in a complex analyst role will help you succeed in this role. Additionally, having an understating of lending principals and risk metrics will help the candidate be successful.


Here's what you can expect from the job and what you need to be successful:
Job Duties:
Create regular and ad-hoc reports by querying relational databases
Uncover actionable insights for increased product performance",3.6,"First Tech Federal Credit Union
3.6","Hillsboro, OR",1001 to 5000 Employees,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD)
Composites Scientist,$98K - $183K (Glassdoor est.),"Composites Scientist
You will have the opportunity to develop state-of-the-art nanomaterials using advanced techniques and instruments for materials characterization in a fast-paced supportive environment with coworkers of diverse backgrounds.
We are a well-funded fast-growing stealth-mode company located in San Jose, CA. Our company has developed a breakthrough technology to custom design and manufacture 3D graphene and other carbon allotropes. Graphene has the promise to transform many industries because of it's astounding properties. It's over 200 times stronger than steel, flexible, transparent, a great thermal conductor and the most conductive material that we know exists. The list of possible applications is expansive including game-changing battery electrodes, transparent touch displays, innovative composite materials, IoT sensors and solar panels just to name a few.

Our leadership team is seasoned in leading startups from an early stage to multibillion-dollar companies. Our development teams have extensive experience in successfully launching products from concept to production. As validation that we are on the forefront of this coming transformation, we have acquired multiple revenue producing commercial and government contracts and have opened a new facility in San Jose to scale our production and accelerate our growth in key product development areas.",-1.0,Stealth Mode Startup Company,"San Jose, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Flow Cytometry Scientist I,$75K - $149K (Glassdoor est.),"Job Description: Provide support for flow cytometry processing, acquisition, analysis and reporting for preclinical and/or clinical development within a Good Laboratory Practice (GLP) environment.
Essential Duties and Responsibilities:
Flow cytometry processing, acquisition, analysis and reporting
Develop, qualify and validate flow cytometry assays for preclinical and clinical applications.
Scientific Review, QC and verification of flow cytometry data and/or maintenance records
Help maintain reagent inventory and placing orders for needed materials
Preparation of various solutions for stock or project use
Cleaning and re-stocking of laboratory",-1.0,Flow Contract Site Laboratory,"Seattle, WA",-1,-1,-1,-1,-1,-1
Business Intelligence Analyst II,$57K - $111K (Glassdoor est.),"Exceed the expectations of our residential mortgage borrowers & business partners through superior service, simple processes, and effective communications.

We deliver on this mission by empowering our employees by encouraging and recognizing superior performance and innovative solutions, by promoting teamwork and divisional cooperation.",3.6,"NewRez
3.6","Fort Washington, PA",5001 to 10000 Employees,2008,Company - Public,Lending,Finance,$500 million to $1 billion (USD)
Lead / Senior Data Scientist,$67K - $133K (Glassdoor est.),"About Dealerware:
Dealerware is modern fleet management for the modern retailer. We are proud to be one of the hottest software companies in the automotive sector. By combining a modern-approach with fresh design thinking, Dealerware’s industry-leading SaaS platform enables best-in-class fleet management and mobility for top automotive dealerships and manufacturers. Three years ago, we burst onto the scene with a promise to reduce costs and elevate the customer experience at automotive dealerships.

Dealerware currently manages fleets for 28 automotive brands and 10 of the top 10 dealer groups in the country. With a recent expansion into international markets, our growth trajectory continues to be within the top 1% of SaaS businesses. Across the automotive ecosystem, there’s hundreds of billions of dollars at stake. And we’re right in the swell of it.

Dealerware is looking for a Lead/Senior Data Scientist to apply their leadership and experience in data science development to manage and grow a small team of data scientists to innovate in the fleet management and connected car space. They will need a deep understanding of statistics analytics, machine learning, and programming to discover hidden opportunities, trends, and patterns. Working cross-functionally with our team they will understand the data science and analytics and business requirements that will help our product unlock data insights for our customers. We are looking for a strong self-starter who will work closely with product management, engineering, design, and research to co-create and drive a culture of curiosity and experimentation.",3.9,"Dealerware
3.9","Austin, TX",51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Data Scientist 4 - Redmond, WA (AP2385)",$79K - $145K (Glassdoor est.),"Data Scientist 4- Redmond, WA
5+ years’ experience- this can include PhD
Require proficiency in basic SQL, and program in R or Python
Ideal person will have masters or PhD – stats, biostatistics, bioinformatics, applied mathematics and Machine learning
5+ years’ experience- this can include PhD
The Data Scientist works on a team using statistical, mathematical, and predictive data models to bring insights and answers to complex business questions. They will apply their advance analytics and solution engineering skills to data to build solutions. They will work on data sets from various sources and focus on solving applied problems using Natural Language Processing, Text Mining, Data Mining & Machine Learning. A blend of experience in science and engineering skills, and a proven track record of solving critical business problems through data science and strong analytical/quantitative and engineering skills is desired.",4.1,"Akvelon, Inc.
4.1","Redmond, WA",501 to 1000 Employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
Data Scientist,$79K - $145K (Glassdoor est.),"Job Description
What will I be doing?
The Data Scientist for Information Management & Analytics identifies and capitalizes on opportunities to improve business performance through developing algorithms that provide real-time business recommendations for business decisions. Areas of focus include Pricing, Inventory Management, Sales Efficiency, Marketing and Digital Analytics, Owner Satisfaction, and Portfolio performance. This role requires integration and collaboration with the Operational Reporting team and IT partners.
Additional Responsibilities Include:
Integrate analytics, algorithms and models with the existing BI tools including Cognos and Tableau, using R, SQL or similar language
Data mining using state-of-the-art methods",3.9,"Hilton Grand Vacations
3.9","Orlando, FL",5001 to 10000 Employees,1992,Company - Public,"Hotels, Motels, & Resorts",Travel & Tourism,Unknown / Non-Applicable
"Scientist/Sr. Scientist, Structural Modeling, Antibody Engineering",$79K - $145K (Glassdoor est.),"Mozart Therapeutics is an early-stage biopharmaceutical company located in Seattle, WA, focused on developing novel immune engagers that specifically target a subset of T lymphocytes to delay the onset and ameliorate targeted autoimmune diseases. The company is seeking a highly motivated and experienced individual to join the Protein Engineering group. The ideal candidate will work in a dynamic start-up environment to utilize structure-based rational design methods to inform the molecular design of molecules that advance the discovery portfolio, and have experience implementing and executing phage or yeast display platforms to identify candidate molecules with desired characteristics. The individual in this position will be part of a small pre-clinical immunotherapy research team focused on the discovery, generation, and development of therapeutic candidates in inflammatory and autoimmune disease.
Responsibilities:
Rigorously evaluate therapeutic targets and therapeutic modalities within project teams using computational methods.",-1.0,Mozart Therapeutics,"Seattle, WA",-1,-1,-1,-1,-1,-1
Data Scientist,$79K - $145K (Glassdoor est.),"Intro:
As a Data Scientist Architect you will be applying new and innovative methods to address some of our most important intelligence problems.
What You'll Be Doing:
Knowledge and experience in designing and implementing AI apps and agents that use the Microsoft Azure Cognitive Services, Azure Bot Service, Azure Cognitive Search, and data storage options.
Analyzing requirements for AI solutions.
Experience with NoSQL databases.
Experience with applying Data Science techniques to overhead imagery (computer vision, object detection).
Ability to work autonomously and collaboratively as part of a team to both teach and learn every day.
Location and Travel Details:
Profile of Success:
Desirable Skills:
About AIS:







EEO Statement:",4.4,"Applied Information Sciences
4.4","Chevy Chase, MD",201 to 500 Employees,1982,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Lead Scientist,$79K - $145K (Glassdoor est.),"Job Title: Lead Scientist
Requisition ID: 163546BR
When you join us at Thermo Fisher Scientific, you’ll be part of a smart, driven team that shares your passion for exploration and discovery. With revenues of more than $24 billion and the largest investment in R&D in the industry, we give our people the resources and opportunities to make significant contributions to the world.
Location/Division Specific Information
Alachua FL / Pharma Services Group – Viral Vector Services (VVS)
How you will make an impact.",3.8,"Thermo Fisher Scientific
3.8","Alachua, FL",10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist Manager,$79K - $145K (Glassdoor est.),"Do you want to build your brand by working for a leading consulting firm that drives eminence in the marketplace? Are you interested in leveraging your skills and strategic ideas to improve mission execution? If so, Deloitte could be the place for you! Our GPS Strategy and Analytics team brings deep industry expertise, rigorous analytical capabilities and a pragmatic mindset to help solve our client's most complex business problems. Join our team, and play a key role in helping to design our clients' roadmap to the future and help transform the marketplace.
Work you'll do
The Data Scientist will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to enterprise data to advance and enable the key mission outcomes. In this role, she will support all phases of analytic work product development, from the identification of key business questions, through data collection and ETL, from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers. This role requires special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights",3.9,"Deloitte
3.9","Arlington, VA",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
